2026-07-25 16:07:02,609 | INFO | got the all account and their health scores
2026-07-25 16:07:03,662 | INFO | summarizer agent is initialized
2026-07-25 16:07:20,753 | INFO |  completed summarizing the reason for accounts
2026-07-25 16:07:21,817 | INFO | recommendation agent initialized
2026-07-25 16:07:31,899 | INFO | recommendations prepared
2026-07-25 16:07:31,903 | INFO | validation of recommendations
2026-07-25 16:07:31,904 | INFO | built vector store
2026-07-25 16:07:38,501 | INFO | generated business insights
2026-07-25 16:07:38,501 | INFO | generated business insights
2026-07-25 16:07:38,508 | INFO | generated business insights
2026-07-25 16:07:38,508 | INFO | generated business insights
2026-07-25 16:07:38,509 | INFO | generated business insights
2026-07-25 16:07:38,509 | INFO | generated business insights
2026-07-25 16:07:38,509 | INFO | generated business insights
2026-07-25 16:07:38,509 | INFO | generated business insights
